stock,sentiment,timestamp
ADIB,0.6361,2026-04-30T01:52:33.991115
CIB,-0.296,2026-04-30T01:53:04.590466
CIB,0.0,2026-04-30T01:53:04.597306
CIB,0.0,2026-04-30T01:53:04.602852
CIB,-0.101,2026-04-30T01:53:04.608297
CIB,-0.872,2026-04-30T01:53:04.613590
CIB,-0.5664,2026-04-30T01:53:04.618669
CIB,0.5719,2026-04-30T01:53:04.625281
CIB,0.0516,2026-04-30T01:53:04.631120
CIB,0.4939,2026-04-30T01:53:04.636398
CIB,0.9274,2026-04-30T01:53:04.641652
FAISAL,0.5719,2026-04-30T01:53:05.248486
FAISAL,0.0516,2026-04-30T01:53:05.254512
FAISAL,0.4939,2026-04-30T01:53:05.259593
FAISAL,0.9274,2026-04-30T01:53:05.264800
FAISAL,-0.9231,2026-04-30T01:53:05.269898
FAISAL,0.6705,2026-04-30T01:53:05.274801
FAISAL,0.6486,2026-04-30T01:53:05.279767
FAISAL,0.6361,2026-04-30T01:53:05.284738
HDB,0.5719,2026-04-30T01:53:05.917606
HDB,0.0516,2026-04-30T01:53:05.923100
HDB,0.4939,2026-04-30T01:53:05.928615
HDB,0.9274,2026-04-30T01:53:05.933720
HDB,-0.9231,2026-04-30T01:53:05.938803
HDB,0.6705,2026-04-30T01:53:05.943791
HDB,0.6486,2026-04-30T01:53:05.948764
HDB,0.6361,2026-04-30T01:53:05.953818
ADIB,0.5719,2026-04-30T01:53:06.547041
ADIB,0.0516,2026-04-30T01:53:06.557452
ADIB,0.4939,2026-04-30T01:53:06.562833
ADIB,0.9274,2026-04-30T01:53:06.568466
ADIB,-0.9231,2026-04-30T01:53:06.573530
ADIB,0.6705,2026-04-30T01:53:06.578524
ADIB,0.6486,2026-04-30T01:53:06.583786
ADIB,0.6361,2026-04-30T01:53:06.589042
CIB,-0.296,2026-04-30T01:53:37.203685
CIB,0.0,2026-04-30T01:53:37.215826
CIB,0.0,2026-04-30T01:53:37.221307
CIB,-0.101,2026-04-30T01:53:37.226269
CIB,-0.872,2026-04-30T01:53:37.231500
CIB,-0.5664,2026-04-30T01:53:37.236630
CIB,0.5719,2026-04-30T01:53:37.241809
CIB,0.0516,2026-04-30T01:53:37.247050
CIB,0.4939,2026-04-30T01:53:37.252215
CIB,0.9274,2026-04-30T01:53:37.257780
FAISAL,0.5719,2026-04-30T01:53:37.861951
FAISAL,0.0516,2026-04-30T01:53:37.867653
FAISAL,0.4939,2026-04-30T01:53:37.873012
FAISAL,0.9274,2026-04-30T01:53:37.878199
FAISAL,-0.9231,2026-04-30T01:53:37.883243
FAISAL,0.6705,2026-04-30T01:53:37.888277
FAISAL,0.6486,2026-04-30T01:53:37.893249
FAISAL,0.6361,2026-04-30T01:53:37.898199
HDB,0.5719,2026-04-30T01:53:38.702310
HDB,0.0516,2026-04-30T01:53:38.708270
HDB,0.4939,2026-04-30T01:53:38.713286
HDB,0.9274,2026-04-30T01:53:38.718434
HDB,-0.9231,2026-04-30T01:53:38.723282
HDB,0.6705,2026-04-30T01:53:38.728243
HDB,0.6486,2026-04-30T01:53:38.733107
HDB,0.6361,2026-04-30T01:53:38.738119
ADIB,0.5719,2026-04-30T01:53:39.409045
ADIB,0.0516,2026-04-30T01:53:39.415438
ADIB,0.4939,2026-04-30T01:53:39.420726
ADIB,0.9274,2026-04-30T01:53:39.425998
ADIB,-0.9231,2026-04-30T01:53:39.431016
ADIB,0.6705,2026-04-30T01:53:39.436283
ADIB,0.6486,2026-04-30T01:53:39.442170
ADIB,0.6361,2026-04-30T01:53:39.447523
CIB,-0.296,2026-04-30T01:54:10.057527
CIB,0.0,2026-04-30T01:54:10.063404
CIB,0.0,2026-04-30T01:54:10.068274
CIB,-0.101,2026-04-30T01:54:10.073116
CIB,-0.872,2026-04-30T01:54:10.078262
CIB,-0.5664,2026-04-30T01:54:10.083182
CIB,0.5719,2026-04-30T01:54:10.088184
CIB,0.0516,2026-04-30T01:54:10.093553
CIB,0.4939,2026-04-30T01:54:10.099132
